"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"1500000US240317002093","Block Group 3; Census Tract 7002.09; Montgomery County; Maryland","487","270","353","230","334","233","19","28","19","28","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","134","84",
"1500000US240317002101","Block Group 1; Census Tract 7002.10; Montgomery County; Maryland","1567","398","850","285","717","231","133","122","41","65","0","14","0","14","90","113","2","12","94","77","20","33","74","71","0","14","0","14","0","14","0","14","0","14","0","14","0","14","37","63","586","249",
"1500000US240317002102","Block Group 2; Census Tract 7002.10; Montgomery County; Maryland","952","304","681","242","575","208","106","110","71","94","35","52","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","41","67","10","20","0","14","22","47","28","45","170","104",
"1500000US240317002103","Block Group 3; Census Tract 7002.10; Montgomery County; Maryland","1761","430","1415","392","1369","360","46","75","46","75","0","14","0","14","0","14","0","14","38","53","0","14","0","14","38","53","0","14","0","14","0","14","0","14","0","14","0","14","0","14","308","171",
"1500000US240317003061","Block Group 1; Census Tract 7003.06; Montgomery County; Maryland","706","233","428","195","380","180","48","46","32","40","16","26","0","14","0","14","0","14","31","49","0","14","15","24","16","25","0","14","0","14","0","14","0","14","0","14","0","14","0","14","247","117",
"1500000US240317003062","Block Group 2; Census Tract 7003.06; Montgomery County; Maryland","1528","413","1121","369","889","348","232","156","136","114","39","68","0","14","57","86","0","14","33","36","0","14","0","14","33","36","0","14","0","14","0","14","0","14","0","14","0","14","17","27","357","237",
"1500000US240317003063","Block Group 3; Census Tract 7003.06; Montgomery County; Maryland","1135","334","786","272","713","273","73","79","73","79","0","14","0","14","0","14","0","14","17","27","0","14","0","14","17","27","0","14","0","14","0","14","0","14","0","14","0","14","18","30","314","144",
"1500000US240317003064","Block Group 4; Census Tract 7003.06; Montgomery County; Maryland","559","223","420","195","366","180","54","62","54","62","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","139","124",
"1500000US240317003081","Block Group 1; Census Tract 7003.08; Montgomery County; Maryland","681","190","443","169","353","133","90","53","62","57","0","14","0","14","0","14","28","38","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","238","136",
"1500000US240317003082","Block Group 2; Census Tract 7003.08; Montgomery County; Maryland","677","251","564","250","535","255","29","50","29","50","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","113","94",
"1500000US240317003083","Block Group 3; Census Tract 7003.08; Montgomery County; Maryland","1521","457","1196","424","933","315","263","196","263","196","0","14","0","14","0","14","0","14","74","90","20","33","54","82","0","14","0","14","0","14","0","14","0","14","0","14","0","14","80","127","171","108",
"1500000US240317003084","Block Group 4; Census Tract 7003.08; Montgomery County; Maryland","1147","459","701","324","676","333","25","33","25","33","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","86","134","25","33","335","148",
"1500000US240317003091","Block Group 1; Census Tract 7003.09; Montgomery County; Maryland","1216","333","848","267","774","260","74","70","44","51","0","14","0","14","30","47","0","14","115","101","0","14","79","86","36","59","0","14","0","14","0","14","0","14","0","14","0","14","18","36","235","162",
"1500000US240317003092","Block Group 2; Census Tract 7003.09; Montgomery County; Maryland","315","193","257","170","257","170","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","38","54","20","33",
"1500000US240317003093","Block Group 3; Census Tract 7003.09; Montgomery County; Maryland","1444","427","1008","375","899","386","109","114","96","112","0","14","13","28","0","14","0","14","114","119","81","112","0","14","33","53","0","14","0","14","23","35","0","14","27","44","1","11","0","14","271","180",
"1500000US240317003101","Block Group 1; Census Tract 7003.10; Montgomery County; Maryland","829","307","808","308","679","262","129","96","129","96","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","21","36",
"1500000US240317003102","Block Group 2; Census Tract 7003.10; Montgomery County; Maryland","758","315","713","315","589","361","124","184","124","184","0","14","0","14","0","14","0","14","26","45","26","45","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","19","29",
"1500000US240317003103","Block Group 3; Census Tract 7003.10; Montgomery County; Maryland","1479","350","1041","308","972","307","69","77","69","77","0","14","0","14","0","14","0","14","41","54","0","14","41","54","0","14","0","14","0","14","29","46","0","14","0","14","0","14","0","14","368","192",
"1500000US240317003104","Block Group 4; Census Tract 7003.10; Montgomery County; Maryland","1251","519","910","412","774","339","136","124","72","76","64","94","0","14","0","14","0","14","51","74","0","14","51","74","0","14","0","14","0","14","0","14","0","14","0","14","0","14","153","157","137","134",
"1500000US240317003131","Block Group 1; Census Tract 7003.13; Montgomery County; Maryland","830","256","514","167","480","176","34","61","0","14","23","41","11","20","0","14","0","14","115","160","59","81","56","80","0","14","0","14","0","14","19","31","0","14","0","14","12","20","0","14","170","126",
"1500000US240317003132","Block Group 2; Census Tract 7003.13; Montgomery County; Maryland","965","296","712","263","709","261","3","14","3","14","0","14","0","14","0","14","0","14","13","21","0","14","13","21","0","14","0","14","0","14","0","14","0","14","0","14","0","14","4","16","236","156",
"1500000US240317003133","Block Group 3; Census Tract 7003.13; Montgomery County; Maryland","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US240317003134","Block Group 4; Census Tract 7003.13; Montgomery County; Maryland","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
